address,species,sidewalk_condition,location
1 ASCAN AV,QURU,NA,"1.0, 1.0"
1 ASCAN AV,SOJA,NA,"1.0, 1.0"
1 ASCAN AV,QURU,Raised,"1.0, 1.0"
1 ASCAN AV,PRMA,NA,"1.0, 1.0"
1 BUTLER ST,FRAM,Raised,"-73.994541, 40.685087"
1 BUTLER ST,PLAC,Raised,"-73.994541, 40.685087"
1 CARTERET ST,PLAC,Raised,"-74.24847, 40.508581"
1 CO OP CITY BLVD,FRPE,NA,"1.0, 1.0"
1 CO OP CITY BLVD,GLTR,NA,"1.0, 1.0"
1 COLUMBIA HEIGHTS,GLTR,Raised,"-73.999569, 40.691672"
1 E 21 ST,GIBI,NA,"-73.990502, 40.740256"
1 E 233 ST,QUPA,Raised,"-73.879776, 40.895179"
1 ELTINGE ST,ACPL,Raised,"-74.094537, 40.602817"
1 FOX ST,QUPA,Raised,"-73.84409, 40.872653"
1 FT CHARLES PL,AC,Raised,"-73.911425, 40.875684"
1 GEORGE ST,PLAC,Raised,"-73.932761, 40.700082"
1 GRACE CT,UNKNOWN,Raised,"-73.9986, 40.694529"
1 HOLMES LA,PLAC,Raised,"-73.898045, 40.638733"
1 MONTGOMERY PL,PLAC,Raised,"-73.974153, 40.671765"
1 PAERDEGAT 14 ST,ACPL,Raised,"-73.902399, 40.627114"
1 SHERIDAN CT,LIST,Raised,"-74.133039, 40.56096"
1 SIDNEY PL,PLAC,Raised,"-73.994191, 40.692999"
1 SMITH CT,ACRU,Raised,"-74.132941, 40.615023"
1 W CEDARVIEW AV,PLAC,Raised,"-74.134359, 40.56577"
1-044 ADIRONDACK BLVD,PI2,Raised,"1.0, 1.0"
1-048 ADIRONDACK BLVD,PI2,Raised,"1.0, 1.0"
1-049 B 133 ST,PLAC,NA,"1.0, 1.0"
1-053 B 133 ST,PLAC,NA,"1.0, 1.0"
1-053 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-054 ADIRONDACK BLVD,PI2,Raised,"1.0, 1.0"
1-054 B 133 ST,PLAC,NA,"1.0, 1.0"
1-055 B 133 ST,PLAC,Raised,"1.0, 1.0"
1-057 ADIRONDACK BLVD,SOJA,Raised,"1.0, 1.0"
1-059 B 133 ST,PLAC,NA,"1.0, 1.0"
1-060 ADIRONDACK BLVD,PI2,Raised,"1.0, 1.0"
1-065 B 133 ST,PLAC,NA,"1.0, 1.0"
1-065 B 134 ST,GLTR,Raised,"1.0, 1.0"
1-066 ADIRONDACK BLVD,SOJA,Raised,"1.0, 1.0"
1-066 B 133 ST,PLAC,NA,"1.0, 1.0"
1-069 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-070 B 133 ST,PLAC,NA,"1.0, 1.0"
1-072 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-073 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-074 B 133 ST,ACPL,NA,"1.0, 1.0"
1-077 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-078 B 133 ST,ACSA2,NA,"1.0, 1.0"
1-082 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-086 B 133 ST,PLAC,Raised,"1.0, 1.0"
1-090 B 134 ST,PLAC,Raised,"1.0, 1.0"
1-092 ADIRONDACK BLVD,ACPL,Raised,"1.0, 1.0"
10 1 ST,PLAC,Raised,"-73.992654, 40.678867"
10 AUBURN AV,ACSA1,Raised,"-74.143056, 40.611484"
10 BANK PL,QUPA,Raised,"-74.094273, 40.594942"
10 BRENTON PL,ACPL,Raised,"-74.115303, 40.614938"
10 CHEEVER PL,PLAC,Raised,"-73.999056, 40.686695"
10 DUFFIELD ST,QUPA,Raised,"-73.984014, 40.698106"
10 E 5 RD,GLTR,NA,"-73.818552, 40.611481"
10 E 5 RD,TICO,NA,"-73.818552, 40.611481"
10 ELDRIGE AV,PLAC,Raised,"-74.135951, 40.624649"
10 ELIZABETH AV,TICO,Raised,"-74.112483, 40.641606"
10 ESCANABA AV,QURO,Raised,"-74.15874, 40.548458"
10 LYON PL,PLAC,NA,"-74.147946, 40.617414"
10 MAC DONALD CT,QUPA,Raised,"-74.250024, 40.499359"
10 MONTAGUE TER,PLAC,Raised,"-73.99764, 40.695123"
10 MONTAGUE TER,TICO,Raised,"-73.99764, 40.695123"
10 NASH CT,PLAC,Raised,"-74.147818, 40.544475"
10 NILES ST,PYCA,Raised,"-74.134251, 40.599634"
10 NOTRE DAME AV,ACPL,NA,"-74.157806, 40.551564"
10 OTIS AV,PLAC,Raised,"-74.116741, 40.578049"
10 PAERDEGAT 10 ST,PLAC,Raised,"-73.905558, 40.628797"
10 POLHEMUS PL,QUPA,Raised,"-73.975724, 40.672576"
10 STANLEY CIR,ACSA1,NA,"-74.162287, 40.552947"
10 TAUNTON ST,TICO,Raised,"-74.137952, 40.555088"
10 THOMAS ST,ACPL,Raised,"-74.128593, 40.566318"
10 TOMPKINS PL,PLAC,Raised,"-73.995503, 40.685529"
10 TRENT ST,ACPL,Raised,"-74.140435, 40.551376"
10 W 65 ST,QUPA,Raised,"-73.979468, 40.771896"
10 W 65 ST,QUPH,Raised,"-73.979468, 40.771896"
10 WALBROOKE AV,PLAC,Raised,"-74.103485, 40.634457"
10 WEBSTER AV,PLAC,Raised,"-74.089567, 40.635517"
10 WHITSON ST,ACSA2,Raised,"-73.843855, 40.712166"
10 ZECK CT,PYCA,Raised,"-74.157037, 40.618246"
10-002 148 ST,ACRU,Raised,"-73.818593, 40.791633"
10-004 41 AV,PLAC,Raised,"-73.945587, 40.755612"
10-005 WHITESTONE EXWY,ACSA1,Raised,"-73.82389, 40.789344"
10-006 148 ST,ACRU,Raised,"-73.818577, 40.791595"
10-008 127 ST,ACPL,Raised,"-73.818775, 40.691111"
10-008 148 ST,ACRU,Raised,"-73.81857, 40.791575"
10-010 148 ST,ACRU,Raised,"-73.818562, 40.791557"
10-011 127 ST,ACPL,Raised,"-73.818761, 40.691081"
10-011 B 12 ST,QUPA,Raised,"1.0, 1.0"
10-015 148 ST,ACSA1,Raised,"-73.818547, 40.791519"
10-015 MOSS RD,ACRU,Raised,"-73.74366, 40.608064"
10-015 MOSS RD,QUPA,Raised,"-73.74366, 40.608064"
10-015 MOSS RD,ACSA2,Raised,"-73.74366, 40.608064"
10-017 WHITESTONE EXWY,PLAC,Raised,"-73.82389, 40.789344"
10-019 WHITESTONE EXWY,PLAC,Raised,"-73.82389, 40.789344"
10-027 B 12 ST,QUPA,Raised,"1.0, 1.0"
10-028 147 ST,ACPL,Raised,"-73.820108, 40.79102"
10-028 CROSSBAY BLVD,PLAC,Raised,"-73.819769, 40.604853"
10-030 JACKSON AV,PLAC,Raised,"-73.953575, 40.741992"
10-031 B 12 ST,QUPA,Raised,"1.0, 1.0"
10-037 TOTEN ST,ACSA1,Raised,"-73.795786, 40.791104"
10-038 CROSSBAY BLVD,ACSA1,Raised,"-73.819833, 40.604432"
10-044 WYCKOFF AV,GLTR,NA,"-73.903389, 40.69521"
10-045 TOTEN ST,ACSA1,Raised,"-73.795763, 40.791007"
10-056 WYCKOFF AV,GLTR,NA,"-73.903059, 40.695024"
100 BAY 26 ST,ACSA2,Raised,"-73.99888, 40.601725"
100 BRADLEY AV,PLAC,Raised,"-74.132274, 40.609786"
100 BRIGHTON ST,PLAC,Raised,"-74.244709, 40.507972"
100 CLINTON ST,PLAC,Raised,"-73.992779, 40.693531"
100 COLFAX AV,SOJA,NA,"-74.107954, 40.579897"
100 COLFAX AV,QUPA,NA,"-74.107954, 40.579897"
100 COLFAX AV,PLAC,NA,"-74.107954, 40.579897"
100 COOPER ST,QUPA,Raised,"-73.90871, 40.686395"
100 DELAWARE AV,ACPS,Raised,"-74.096463, 40.592425"
100 E 21 ST,UNKNOWN,NA,"-73.993781, 40.741636"
100 E 59 ST,QUPA,Raised,"-73.92171, 40.651798"
100 E MOSHOLU PKWY S,ACPL,NA,"-73.883775, 40.876771"
100 GARFIELD PL,ACPL,Raised,"-73.980731, 40.674097"
100 GETZ AV,PYCA,NA,"-74.166314, 40.557737"
100 GRANT AV,TICO,Raised,"-73.868512, 40.688611"
100 GROTON ST,COMA,NA,"-73.858224, 40.719596"
100 GROTON ST,UNKNOWN,NA,"-73.858224, 40.719596"
100 KEEGANS LA,LIST,Raised,"-74.139771, 40.551273"
100 LAWRENCE AV,GLTR,NA,"-74.106969, 40.627654"
100 NIPPON AV,PLAC,Raised,"-74.193837, 40.541876"
100 PEMBERTON AV,LIST,NA,"-74.156353, 40.562095"
100 PROSPECT PL,PLAC,Raised,"-73.974269, 40.67893"
100 ROE ST,ACRU,NA,"-74.121581, 40.631722"
100 ROLLING HILL GREEN,LIST,Raised,"-74.191934, 40.550629"
100 S OXFORD ST,SOJA,Raised,"-73.973475, 40.686446"
100 SILVERLAKE RD,ACPL,Raised,"-74.094165, 40.63236"
100 ST MARKS AV,ACRU,Raised,"-73.973599, 40.679589"
100 TEHAMA ST,PLAC,Raised,"-73.983758, 40.643896"
100 VANCORTLANDT PK S,TICO,Raised,"-73.891782, 40.885053"
100 VANDERBILT AV,ACPL,Raised,"-74.075554, 40.620886"
100 VANDERBILT AV,PLAC,Raised,"-74.075554, 40.620886"
100 W 82 ST,QUPA,Raised,"-73.974101, 40.783918"
100 WEIRFIELD ST,GLTR,Raised,"-73.913566, 40.6886"
100 WOODWARD AV,QUPA,Raised,"-74.142857, 40.60879"
100-001 205 PL,ACPL,Raised,"-73.754068, 40.711815"
100-001 67 DR,ACPS,NA,"-73.853421, 40.723346"
100-002 159 AV,ACSA1,Raised,"-73.833327, 40.660114"
100-002 34 AV,QUPA,Raised,"-73.868115, 40.755511"
100-002 34 AV,TICO,Raised,"-73.868115, 40.755511"
100-002 F LEWIS BLVD,ACSA1,Raised,"1.0, 1.0"
100-003 70 AV,ACSA2,Raised,"-73.849255, 40.717333"
100-003 ATLANTIC AV,QUPA,Raised,"-73.844142, 40.689488"
100-004 31 AV,PLAC,Raised,"-73.869094, 40.761015"
100-004 34 AV,QUPA,Raised,"-73.868094, 40.755513"
100-004 34 AV,QUPA,NA,"-73.868094, 40.755513"
100-005 101 AV,QUPA,Raised,"-73.842142, 40.685363"
100-005 ASTORIA BLVD,QUPA,Raised,"-73.86927, 40.761979"
100-006 159 AV,ACSA1,Raised,"-73.833291, 40.660119"
100-006 205 PL,ACPL,Raised,"-73.754025, 40.711712"
100-006 89 AV,AIAL,Raised,"-73.845616, 40.692684"
100-007 40 RD,ACPL,Raised,"-73.864923, 40.748653"
100-008 34 AV,QUPA,NA,"-73.868054, 40.755518"
100-008 QUEENS BLVD,GLTR,NA,"-73.85389, 40.727043"
100-009 205 PL,ACPL,Raised,"-73.754011, 40.711676"
100-010 34 AV,QUPA,NA,"-73.868034, 40.75552"
100-011 201 ST,QUPA,Raised,"-73.758466, 40.710565"
100-011 221 ST,PLAC,Raised,"-73.731835, 40.715109"
100-011 34 AV,QUPA,NA,"-73.868034, 40.75552"
100-011 ASTORIA BLVD,QUPA,Raised,"-73.869206, 40.761969"
100-012 207 ST,ACPL,Raised,"-73.752192, 40.712036"
100-012 39 AV,TICO,Raised,"1.0, 1.0"
100-013 34 AV,QUPA,NA,"-73.868014, 40.755522"
100-013 75 AV,ACPL,Raised,"-73.84401, 40.709618"
100-014 35 AV,ACSA1,Raised,"-73.867753, 40.754184"
100-014 35 AV,TICO,NA,"-73.867753, 40.754184"
100-014 89 AV,ACSA2,Raised,"-73.845511, 40.692719"
100-015 201 ST,QUPA,Raised,"-73.758437, 40.710496"
100-015 205 ST,ACPL,Raised,"-73.754863, 40.711358"
100-015 27 AV,ACSA1,Raised,"-73.869115, 40.762916"
100-016 31 AV,PLAC,Raised,"-73.868974, 40.761028"
100-016 35 AV,ACSA1,NA,"-73.867734, 40.754188"
100-016 87 AV,ACSA2,Raised,"-73.846044, 40.694053"
100-016 89 AV,ACSA2,Raised,"-73.845485, 40.692727"
100-018 200 ST,ACSA1,Raised,"-73.759303, 40.710214"
100-018 204 ST,ACSA1,Raised,"-73.755728, 40.711074"
100-018 31 AV,PLAC,Raised,"-73.868953, 40.76103"
100-018 34 AV,QUPA,Raised,"-73.867953, 40.755528"
100-018 35 AV,ACPL,NA,"-73.867713, 40.754192"
100-018 90 AV,ACPL,Raised,"-73.845154, 40.692113"
100-018 QUEENS BLVD,QUPA,NA,"-73.853872, 40.727035"
100-019 158 AV,ACPL,Raised,"-73.833596, 40.661805"
100-019 200 ST,ACPL,Raised,"-73.759303, 40.710214"
100-019 205 PL,ULAM,Raised,"-73.753939, 40.711504"
100-019 27 AV,ACSA1,Raised,"-73.869087, 40.762932"
100-019 75 AV,ACPL,Raised,"-73.84396, 40.709725"
100-019 ASCAN AV,ACPL,NA,"-73.845089, 40.711188"
100-019 ASCAN AV,MAPU,Raised,"-73.845089, 40.711188"
100-020 101 ST,ACPL,Raised,"-73.842054, 40.685388"
100-020 101 ST,TICO,Raised,"-73.842054, 40.685388"
100-020 101 ST,ACPL,NA,"-73.842054, 40.685388"
100-020 157 AV,ACPL,Raised,"-73.833991, 40.663482"
100-020 207 ST,ACPL,Raised,"-73.752134, 40.711898"
100-020 34 AV,ACSA2,NA,"-73.867933, 40.75553"
100-020 35 AV,ACPL,Raised,"-73.867694, 40.754196"
100-020 METRO AV,SOJA,Raised,"1.0, 1.0"
100-022 222 ST,ACPL,Raised,"-73.731014, 40.714722"
100-022 67 AV,PLAC,Raised,"-73.853413, 40.727202"
100-022 67 AV,SOJA,NA,"-73.853413, 40.727202"
100-022 75 AV,ACPL,Raised,"-73.843927, 40.709794"
100-023 208 ST,QUPA,Raised,"-73.751211, 40.712084"
100-024 201 ST,ACPL,Raised,"-73.758366, 40.710324"
100-024 205 PL,ACPL,Raised,"-73.753896, 40.711401"
